URL,Discovered At,Found On,From,Requested,HTTP Status Code,HTTP Method,Response Time,Content Length,Content Type,Queued,Reason Not Queued,Audited,Reason Not Audited
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/,2025-02-19T11:51:46Z,,target_url,true,200,get,0.2137,1256,text/html,true,,true,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,2025-02-19T11:53:34Z,,browser,true,200,get,,5270,text/html,true,,true,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/newsnippet.gtl,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,405,head,0.063716,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/upload.gtl,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,405,head,0.078286,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/editprofile.gtl,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,405,head,0.047548,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/logout,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,false,,,,,,false,exclude_path_patterns,false,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/deletesnippet?index=0,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,405,head,0.048276,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/deletesnippet?index=1,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,405,head,0.050109,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/cheese.png,2025-02-19T11:54:14Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl,crawling,true,200,get,,9993,image/png,false,exclude_file_extension,false,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/feed.gtl?uid=admin,2025-02-19T11:54:16Z,,browser,true,200,get,,60,text/html,true,,true,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl?uid=cheddar,2025-02-19T12:10:38Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/,crawling,true,405,head,0.034859,188,text/html; charset=utf-8,true,,false,scan_timelimit_reached
https://images.google.com/?q=cheddar cheese,2025-02-19T12:10:38Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/,crawling,false,,,,,,false,not_in_domain,false,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/snippets.gtl?uid=brie,2025-02-19T12:10:38Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/,crawling,true,200,post,0.232715,1253,text/html,true,,false,scan_timelimit_reached
https://news.google.com/news/search?q=brie,2025-02-19T12:10:38Z,https://google-gruyere.appspot.com/662787643234587727633733504808217804147/,crawling,false,,,,,,false,not_in_domain,false,
https://google-gruyere.appspot.com/662787643234587727633733504808217804147/feed.gtl,2025-02-19T12:10:55Z,,browser,true,200,get,,159,text/html,true,,false,scan_timelimit_reached
